id_inmueble,id_plataforma,url_anuncio,pais,departamento,ciudad,barrios,direccion,zona_ciudad,latitud,longitud,tipo_propiedad,area_total_m2,num_habitaciones,num_banos,num_parqueaderos,estrato,estado,antiguedad_construccion,precio_venta,precio_administracion,fecha_publicacion,fecha_actualizacion,fecha_ingreso,nombre_contacto
18237-M5701214,metrocuadrado,https://www.metrocuadrado.com.co/inmueble/venta-apartamento-medellin-san-bernardo-5-habitaciones-2-banos/18237-M5701214,Colombia,Antioquia,Medellín,SAN BERNARDO,,Suroccidente,6.2241603,-75.5958806,Apartamento,147.0,5.0,2,0,3,Usado,Más de 20 años,560000000,,2025-08-09T03:10:20.000Z,2025-08-20T13:37:12.000Z,2025-04-15T12:39:49.000Z,
18237-M5947172,metrocuadrado,https://www.metrocuadrado.com.co/inmueble/venta-apartamento-medellin-belen-san-bernardo-2-habitaciones-1-banos/18237-M5947172,Colombia,Antioquia,Medellín,BELEN SAN BERNARDO,,,6.2272353,-75.5965991,Apartamento,50.0,2.0,1,0,3,Usado,Entre 0 y 5 años,290000000,,2025-08-16T03:10:10.000Z,2025-08-20T13:37:12.000Z,2025-07-18T21:38:26.000Z,
18237-M5959909,metrocuadrado,https://www.metrocuadrado.com.co/inmueble/venta-apartamento-medellin-san-bernardo-3-habitaciones-2-banos/18237-M5959909,Colombia,Antioquia,Medellín,SAN BERNARDO,,Suroccidente,6.22552797,-75.59551638,Apartamento,72.0,3.0,2,0,4,Usado,Entre 0 y 5 años,380000000,,2025-07-25T21:26:47.000Z,2025-08-20T13:37:12.000Z,2025-07-25T21:26:47.000Z,
18237-M5983338,metrocuadrado,https://www.metrocuadrado.com.co/inmueble/venta-apartamento-medellin-belen-san-bernardo-4-habitaciones-3-banos-1-garajes/18237-M5983338,Colombia,Antioquia,Medellín,BELEN SAN BERNARDO,,,6.2254669342,-75.5955637855,Apartamento,150.0,4.0,3,1,4,Usado,Más de 20 años,600000000,,2025-08-08T15:02:33.000Z,2025-08-20T13:37:12.000Z,2025-08-08T15:02:33.000Z,
18237-M5952490,metrocuadrado,https://www.metrocuadrado.com.co/inmueble/venta-casa-medellin-belen-la-gloria-3-habitaciones-2-banos/18237-M5952490,Colombia,Antioquia,Medellín,BELEN LA GLORIA,,,6.2240155,-75.5981252,Casa,128.8,3.0,2,0,4,Usado,Más de 20 años,590000000,,2025-08-20T03:10:10.000Z,2025-08-20T13:37:12.000Z,2025-07-22T19:58:53.000Z,
18237-M5797701,metrocuadrado,https://www.metrocuadrado.com.co/inmueble/venta-apartamento-medellin-las-playas-3-habitaciones-2-banos/18237-M5797701,Colombia,Antioquia,Medellín,LAS PLAYAS,,,6.2194648,-75.5955031,Apartamento,80.0,3.0,2,0,4,Usado,Más de 20 años,400000000,,2025-08-04T03:10:15.000Z,2025-08-20T13:37:12.000Z,2025-06-07T19:10:45.000Z,
17080-M5742393,metrocuadrado,https://www.metrocuadrado.com.co/inmueble/venta-apartamento-medellin-belen-2-habitaciones-1-banos/17080-M5742393,Colombia,Antioquia,Medellín,BELEN,,,6.227697,-75.5941519,Apartamento,46.0,2.0,1,0,4,Usado,Entre 10 y 20 años,250000000,,2025-07-30T09:48:26.000Z,2025-08-20T13:57:44.000Z,2025-05-08T14:30:43.000Z,
18237-M5948554,metrocuadrado,https://www.metrocuadrado.com.co/inmueble/venta-apartamento-medellin-belen-san-bernardo-2-habitaciones-1-banos/18237-M5948554,Colombia,Antioquia,Medellín,BELEN SAN BERNARDO,,,6.2266114046,-75.593791008,Apartamento,50.0,2.0,1,0,3,Usado,Entre 10 y 20 años,290000000,,2025-08-19T03:10:09.000Z,2025-08-20T13:37:12.000Z,2025-07-21T02:45:52.000Z,
12792-M5022223,metrocuadrado,https://www.metrocuadrado.com.co/inmueble/venta-casa-medellin-diego-echavarria-5-habitaciones-3-banos-1-garajes/12792-M5022223,Colombia,Antioquia,Medellín,DIEGO ECHAVARRIA,,Suroccidente,6.2182488441467285,-75.59784698486328,Casa,260.0,5.0,3,1,3,Usado,Más de 20 años,900000000,0.0,2025-08-01T03:10:13.000Z,2025-08-20T14:01:52.000Z,2024-06-21T13:42:34.000Z,
12792-M5652058,metrocuadrado,https://www.metrocuadrado.com.co/inmueble/venta-casa-medellin-belen-3-habitaciones-2-banos/12792-M5652058,Colombia,Antioquia,Medellín,BELEN,,,6.224683,-75.592842,Casa,93.0,3.0,2,0,3,Usado,Más de 20 años,340000000,,2025-08-12T14:49:24.000Z,2025-08-20T14:01:52.000Z,2025-03-19T10:42:40.000Z,
12792-M5611059,metrocuadrado,https://www.metrocuadrado.com.co/inmueble/venta-casa-medellin-san-bernardo-5-habitaciones-2-banos/12792-M5611059,Colombia,Antioquia,Medellín,SAN BERNARDO,,Suroccidente,6.22683155,-75.60033021,Casa,116.0,5.0,2,0,3,Usado,Más de 20 años,550000000,,2025-08-13T03:10:09.000Z,2025-08-20T14:01:52.000Z,2025-02-26T19:13:26.000Z,
649-M5782528,metrocuadrado,https://www.metrocuadrado.com.co/inmueble/venta-local-comercial-medellin-san-bernardo-1-banos-1-garajes/649-M5782528,Colombia,Antioquia,Medellín,SAN BERNARDO,,Noroccidente,6.2252000445,-75.5955266865,Local Comercial,51.0,,1,1,5,Usado,Más de 20 años,400000000,492000.0,2025-07-30T03:10:14.000Z,2025-08-20T00:15:41.000Z,2025-05-29T15:17:06.000Z,
3267-M5452674,metrocuadrado,https://www.metrocuadrado.com.co/inmueble/venta-casa-medellin-san-bernardo-3-habitaciones-3-banos-1-garajes/3267-M5452674,Colombia,Antioquia,Medellín,SAN BERNARDO,,Suroccidente,6.22833,-75.59781,Casa,97.7,3.0,3,1,4,Usado,Más de 20 años,590000000,495000.0,2025-04-04T16:38:24.000Z,2025-08-20T12:24:17.000Z,2024-12-04T10:17:02.000Z,
3267-M5530731,metrocuadrado,https://www.metrocuadrado.com.co/inmueble/venta-casa-medellin-las-playas-4-habitaciones-1-banos/3267-M5530731,Colombia,Antioquia,Medellín,LAS PLAYAS,,Suroccidente,6.22045,-75.59436,Casa,120.0,4.0,1,0,3,Usado,Más de 20 años,430000000,,2025-04-04T16:35:50.000Z,2025-08-20T12:24:17.000Z,2025-01-16T12:53:35.000Z,
2895-M4811489,metrocuadrado,https://www.metrocuadrado.com.co/inmueble/venta-apartamento-medellin-san-bernardo-3-habitaciones-5-banos/2895-M4811489,Colombia,Antioquia,Medellín,SAN BERNARDO,,Suroccidente,6.2248535,-75.5965302,Apartamento,100.0,3.0,5,0,5,Usado,Más de 20 años,550000000,385000.0,2025-08-04T03:10:10.000Z,2025-08-20T13:04:22.000Z,2024-02-17T11:23:07.000Z,
2895-M4861465,metrocuadrado,https://www.metrocuadrado.com.co/inmueble/venta-apartamento-medellin-las-playas-3-habitaciones-1-banos/2895-M4861465,Colombia,Antioquia,Medellín,LAS PLAYAS,,Suroccidente,6.2197705,-75.5969923,Apartamento,65.0,3.0,1,0,3,Usado,Más de 20 años,450000000,,2025-08-14T03:10:08.000Z,2025-08-20T13:04:22.000Z,2024-03-16T11:58:28.000Z,
2895-M4599646,metrocuadrado,https://www.metrocuadrado.com.co/inmueble/venta-apartamento-medellin-las-playas-4-habitaciones-3-banos/2895-M4599646,Colombia,Antioquia,Medellín,LAS PLAYAS,,Suroccidente,6.2228476,-75.5933121,Apartamento,180.0,4.0,3,0,3,Usado,Más de 20 años,435000000,,2024-11-26T00:22:53.000Z,2025-08-20T13:04:22.000Z,2023-10-02T13:39:34.000Z,
2895-M4790201,metrocuadrado,https://www.metrocuadrado.com.co/inmueble/venta-apartamento-medellin-granada-3-habitaciones-4-banos-2-garajes/2895-M4790201,Colombia,Antioquia,Medellín,GRANADA,,Suroccidente,6.229245,-75.5952307,Apartamento,140.0,3.0,4,2,3,Usado,Entre 10 y 20 años,395000000,,2025-08-14T03:10:07.000Z,2025-08-20T13:04:22.000Z,2024-02-05T16:49:15.000Z,
2895-M4961814,metrocuadrado,https://www.metrocuadrado.com.co/inmueble/venta-apartamento-medellin-san-bernardo-3-habitaciones-5-banos/2895-M4961814,Colombia,Antioquia,Medellín,SAN BERNARDO,,Suroccidente,6.2251392,-75.5917333,Apartamento,98.0,3.0,5,0,4,Usado,Más de 20 años,350000000,,2025-08-14T03:10:09.000Z,2025-08-20T13:04:22.000Z,2024-05-17T21:28:13.000Z,
2895-M4715429,metrocuadrado,https://www.metrocuadrado.com.co/inmueble/venta-apartamento-medellin-san-bernardo-3-habitaciones-2-banos/2895-M4715429,Colombia,Antioquia,Medellín,SAN BERNARDO,,Suroccidente,6.2264596,-75.5926755,Apartamento,120.0,3.0,2,0,3,Usado,Más de 20 años,322000000,,2024-11-26T00:22:53.000Z,2025-08-20T13:04:22.000Z,2023-12-11T13:59:05.000Z,
2895-M3595444,metrocuadrado,https://www.metrocuadrado.com.co/inmueble/venta-casa-medellin-san-bernardo-5-habitaciones-4-banos/2895-M3595444,Colombia,Antioquia,Medellín,SAN BERNARDO,,Suroccidente,6.225975,-75.5986265,Casa,157.0,5.0,4,0,3,Usado,Entre 10 y 20 años,320000000,,2024-11-26T00:22:53.000Z,2025-08-20T13:04:22.000Z,2022-07-08T09:48:34.000Z,
2895-M4914613,metrocuadrado,https://www.metrocuadrado.com.co/inmueble/venta-casa-medellin-las-playas-3-habitaciones-2-banos/2895-M4914613,Colombia,Antioquia,Medellín,LAS PLAYAS,,Suroccidente,6.2206746,-75.5953015,Casa,84.0,3.0,2,0,3,Usado,Más de 20 años,380000000,334000.0,2024-11-26T00:22:53.000Z,2025-08-20T13:04:22.000Z,2024-04-22T13:15:37.000Z,
277-M5841384,metrocuadrado,https://www.metrocuadrado.com.co/inmueble/venta-apartamento-medellin-san-bernardo-1-habitaciones-2-banos/277-M5841384,Colombia,Antioquia,Medellín,SAN BERNARDO,,Suroccidente,6.2261742507,-75.6005365564,Apartamento,62.0,1.0,2,0,4,Usado,Entre 10 y 20 años,320000000,80000.0,2025-07-31T03:10:12.000Z,2025-08-20T00:26:24.000Z,2025-07-02T12:38:16.000Z,
13179-M5787846,metrocuadrado,https://www.metrocuadrado.com.co/inmueble/venta-casa-medellin-granada-3-habitaciones-2-banos/13179-M5787846,Colombia,Antioquia,Medellín,GRANADA,,Suroccidente,6.228844165802002,-75.59457397460938,Casa,106.0,3.0,2,0,3,Usado,Más de 20 años,430000000,0.0,2025-07-31T03:10:13.000Z,2025-08-19T21:30:40.000Z,2025-06-03T18:25:43.000Z,
12116-M4522391,metrocuadrado,https://www.metrocuadrado.com.co/inmueble/venta-apartamento-medellin-san-bernardo-5-habitaciones-3-banos/12116-M4522391,Colombia,Antioquia,Medellín,SAN BERNARDO,,Suroccidente,6.225395679473877,-75.59864044189453,Apartamento,150.0,5.0,3,0,3,Usado,Más de 20 años,350000000,0.0,2025-08-08T03:10:16.000Z,2025-08-20T11:49:57.000Z,2023-08-14T15:51:19.000Z,
12116-M5097132,metrocuadrado,https://www.metrocuadrado.com.co/inmueble/venta-apartamento-medellin-san-bernardo-3-habitaciones-2-banos-1-garajes/12116-M5097132,Colombia,Antioquia,Medellín,SAN BERNARDO,,Suroccidente,6.227217674255371,-75.59611511230469,Apartamento,78.0,3.0,2,1,4,Usado,Entre 5 y 10 años,565000000,320000.0,2025-08-08T03:10:16.000Z,2025-08-20T11:49:57.000Z,2024-07-27T10:32:04.000Z,
12116-M3772753,metrocuadrado,https://www.metrocuadrado.com.co/inmueble/venta-apartamento-medellin-san-bernardo-3-habitaciones-3-banos/12116-M3772753,Colombia,Antioquia,Medellín,SAN BERNARDO,,Suroccidente,6.225111961364746,-75.5918960571289,Apartamento,117.0,3.0,3,0,3,Usado,Entre 0 y 5 años,380000000,0.0,2023-03-13T22:11:56.000Z,2025-08-20T11:49:57.000Z,2022-09-20T11:02:59.000Z,
