id_inmueble,id_plataforma,url_anuncio,pais,departamento,ciudad,barrios,direccion,latitud,longitud,tipo_propiedad,area_total_m2,num_habitaciones,num_banos,num_parqueaderos,estrato,estado,antiguedad_construccion,precio_venta,precio_administracion,fecha_publicacion,fecha_actualizacion,fecha_ingreso,nombre_contacto
3391915,ciencuadras,https://www.ciencuadras.com/inmueble/casa-en-venta-en-las-playas-medellin-3391915,Colombia,Antioquia,Medellín,LAS PLAYAS,CR 75 28 27 AP 201,6.219035,-75.597537,Casa,161,4,5,0,3,,,460000000,0,2025-06-26T11:59:40.000Z,2025-06-26T11:59:40.000Z,2025-06-26T11:59:40.000Z,ACTIVOS & BIENES S.A.S
3344455,ciencuadras,https://www.ciencuadras.com/inmueble/casa-en-venta-en-las-playas-medellin-3344455,Colombia,Antioquia,Medellín,LAS PLAYAS,CR 70 14 35 CS 3,6.222506,-75.592109,Casa,160,5,2,0,3,,,520000000,0,2025-05-15T10:45:12.000Z,2025-05-15T10:45:12.000Z,2025-05-15T10:45:12.000Z,Inmobiliaria y Valores La Villa
3058314,ciencuadras,https://www.ciencuadras.com/inmueble/casa-en-venta-en-las-playas-medellin-3058314,Colombia,Antioquia,Medellín,LAS PLAYAS,CL 12 73 38 BL 41 CS 202,6.219598,-75.595856,Casa,80,3,2,0,3,,,390000000,0,2024-08-02T15:28:30.000Z,2024-08-02T15:28:30.000Z,2024-08-02T15:28:30.000Z,INMOBILIARIA TRIANON S.A.S
3338747,ciencuadras,https://www.ciencuadras.com/inmueble/apartamento-en-venta-en-las-playas-medellin-3338747,Colombia,Antioquia,Medellín,LAS PLAYAS,"Las Playas, Medellín, Belén, Medellín, Antioquia, Colombia",6.220152,-75.595347,Apartamento,96,4,2,0,3,,,430000000,0,2025-05-09T17:34:56.000Z,2025-05-09T17:34:56.000Z,2025-05-09T17:34:56.000Z,RED DE INVERSIONES INMOBILIARIAS
3382916,ciencuadras,https://www.ciencuadras.com/inmueble/apartamento-en-venta-en-las-playas-medellin-3382916,Colombia,Antioquia,Medellín,LAS PLAYAS,calle 16 # 70-48,6.221568,-75.592827,Apartamento,105,5,1,0,3,,,400000000,0,2025-06-18T15:38:45.000Z,2025-06-18T15:38:45.000Z,2025-06-18T15:38:45.000Z,MATTIS INMOBILIARIA
3361817,ciencuadras,https://www.ciencuadras.com/inmueble/casa-en-venta-en-las-playas-medellin-3361817,Colombia,Antioquia,Medellín,LAS PLAYAS,Carrera 40# 47-30 apt 1003 edificio Orión 1,6.220015,-75.593374,Casa,48,2,2,0,3,,,240000000,187000,2025-08-01T11:24:39.000Z,2025-08-01T11:24:39.000Z,2025-08-01T11:24:39.000Z,DREAM HOUSE PROPIEDAD RAIZ SAS
3444474,ciencuadras,https://www.ciencuadras.com/inmueble/apartamento-en-venta-en-las-playas-medellin-3444474,Colombia,Antioquia,Medellín,LAS PLAYAS,CR 70 40 50 PISO 1,6.218692,-75.592812,Apartamento,60.0,2,2,0,4,,,4000000000,0,2025-08-16T11:16:00.000Z,2025-08-16T11:16:00.000Z,2025-08-16T11:16:00.000Z,ARRENDAMIENTOS EL CASTILLO S.A.S.
3360887,ciencuadras,https://www.ciencuadras.com/inmueble/apartamento-en-venta-en-las-playas-medellin-3360887,Colombia,Antioquia,Medellín,LAS PLAYAS,CR 72 #10A 26,6.220152,-75.595347,Apartamento,89,3,2,0,3,,,320000000,0,2025-05-29T12:19:27.000Z,2025-05-29T12:19:27.000Z,2025-05-29T12:19:27.000Z,Arrendamientos Panorama Belen
3307078,ciencuadras,https://www.ciencuadras.com/inmueble/apartamento-en-venta-en-las-playas-medellin-3307078,Colombia,Antioquia,Medellín,LAS PLAYAS,LA AMERICA,6.220491,-75.596887,Apartamento,84,3,2,1,5,,,450000000,278000,2025-04-10T14:18:16.000Z,2025-04-10T14:18:16.000Z,2025-04-10T14:18:16.000Z,Mas Activo propiedad raiz
3306001,ciencuadras,https://www.ciencuadras.com/inmueble/apartamento-en-venta-en-las-playas-medellin-3306001,Colombia,Antioquia,Medellín,LAS PLAYAS,Calle 17 # 27 - 0,6.221852,-75.592612,Apartamento,122,2,3,2,6,,,1210000000,912000,2025-04-09T16:19:30.000Z,2025-04-09T16:19:30.000Z,2025-04-09T16:19:30.000Z,Prointegral S.A
3383122,ciencuadras,https://www.ciencuadras.com/inmueble/apartamento-en-venta-en-las-playas-medellin-3383122,Colombia,Antioquia,Medellín,LAS PLAYAS,CR 73 26 B 27 AP 702,6.221796,-75.595564,Apartamento,123,3,3,0,4,,,580000000,0,2025-06-18T16:40:15.000Z,2025-06-18T16:40:15.000Z,2025-06-18T16:40:15.000Z,ARRENDAMIENTOS INTEGRIDAD
3399198,ciencuadras,https://www.ciencuadras.com/inmueble/apartamento-en-venta-en-las-playas-medellin-3399198,Colombia,Antioquia,Medellín,LAS PLAYAS,Calle 17 # 71 - 65,6.222098,-75.594088,Apartamento,120,4,2,0,3,,,420000000,0,2025-07-04T09:38:40.000Z,2025-07-04T09:38:40.000Z,2025-07-04T09:38:40.000Z,Petra Group Sas
3292428,ciencuadras,https://www.ciencuadras.com/inmueble/local-en-venta-en-las-playas-medellin-3292428,Colombia,Antioquia,Medellín,LAS PLAYAS,DG 79 15 193,6.220373,-75.599362,Local,20,0,1,0,6,,,270000000,0,2025-03-29T08:30:45.000Z,2025-03-29T08:30:45.000Z,2025-03-29T08:30:45.000Z,ARRENDAMIENTOS INTEGRIDAD
3068176,ciencuadras,https://www.ciencuadras.com/inmueble/apartamento-en-venta-en-las-playas-medellin-3068176,Colombia,Antioquia,Medellín,LAS PLAYAS,Cl. 12 #73-58,6.219935,-75.596592,Apartamento,110,3,2,2,4,,,445000000,0,2024-08-15T14:43:25.000Z,2024-08-15T14:43:25.000Z,2024-08-15T14:43:25.000Z,Grupo Inmobiliario Cabal S.A.S
2809368,ciencuadras,https://www.ciencuadras.com/inmueble/apartamento-en-venta-en-las-playas-medellin-2809368,Colombia,Antioquia,Medellín,LAS PLAYAS,CL 12 73 38 BL 41 AP 202,6.219993,-75.596606,Apartamento,80,3,2,0,3,,,410000000,0,2023-09-22T10:35:47.000Z,2023-09-22T10:35:47.000Z,2023-09-22T10:35:47.000Z,ARRENDAMIENTOS INTEGRIDAD
